决	678
發	678
脑	677
选	675
云	675
笔	672
较	670
远	669
报	668
餐	667
章	665
秋	663
轻	657
务	655
谓	651
長	650
术	649
頭	649
推	649
初	648
愿	645
组	645
借	644
据	643
治	643
史	642
久	640
虎	638
刻	635
左	630
奇	630
按	629
官	628
楚	627
苦	627
级	626
待	625
倒	624
福	620
究	620
穿	618
秦	613
冷	612
慢	611
居	610
當	608
育	608
害	608
唱	607
油	606
姓	606
義	604
玉	603
许	603
簡	602
展	602
漂	601
馬	599
料	599
茶	599
味	598
間	595
份	595
素	594
况	593
依	591
微	591
案	590
河	590
参	589
统	583
奶	582
懂	581
午	579
礼	578
馆	578
現	578
否	574
专	574
除	572
拿	572
動	570
医	570
族	569
补	569
楼	567
存	566
历	564
希	563
善	562
掉	561
富	561
鱼	559
版	558
師	557
联	555
還	555
尔	554
耳	554
怪	553
韻	551
武	549
啦	548
双	548
转	547
设	546
研	544
骨	541
军	541
巴	540
致	540
唔	539
右	537
略	537
举	537
异	536
從	535
质	534
帝	534
華	533
布	531
折	531
龙	531
破	530
猫	529
极	529
拼	529
随	529
室	528
鸡	528
底	528
聊	526
送	525
适	524
愛	522
兵	521
唐	520
怕	514
丽	513
超	512
角	512
曾	511
忘	510
洗	509
佛	509
急	509
忙	508
导	508
约	505
景	500
释	500
蛋	500
仅	500
费	500
含	499
符	499
苹	499
冒	497
副	496
俗	496
速	496
床	496
型	495
顺	495
另	494
低	494
皇	494
户	492
肯	492
议	492
虚	489
换	488
范	488
欲	488
律	487
氣	487
介	485
互	484
府	484
投	484
构	484
停	481
境	478
風	476
杀	476
則	475
亦	475
雪	475
局	474
资	473
价	472
排	471
疑	471
察	470
纸	470
宝	469
诗	468
給	468
呀	467
康	467
嗎	463
终	462
树	461
休	460
夏	457
犯	457
坏	457
段	456
查	456
問	456
既	455
钟	453
线	452
樂	451
兄	451
尊	450
旁	450
队	449
電	449
迎	449
板	448
哈	446
绝	446
证	445
仁	445
旅	444
虽	444
卖	444
趣	444
伤	442
敬	441
配	440
弄	440
屋	440
响	440
門	439
曲	438
却	437
血	437
项	436
萬	434
续	434
备	434
杯	434
票	433
贵	432
惊	432
卷	432
装	431
够	431
梦	431
练	431
別	430
技	430
脸	430
偏	428
背	427
兒	427
断	425
遇	424
谈	424
博	423
余	422
施	422
麻	421
港	420
尾	420
显	420
跳	419
罗	418
皮	415
细	415
雄	415
职	415
创	414
吾	414
养	413
實	411
讀	410
呼	410
幸	410
警	409
领	409
旧	408
熟	407
桌	407
裡	406
飯	406
藏	405
操	405
概	405
牙	404
永	404
樣	404
群	404
娘	404
拜	403
累	403
宾	403
傳	402
众	402
盖	401
數	400
须	400
冰	399
變	398
瓜	398
烟	398
际	398
述	397
係	395
冬	394
機	394
套	392
季	391
甚	391
刀	391
處	390
舞	390
置	390
氏	389
宋	389
斗	388
批	387
繁	387
充	386
胡	385
卡	385
争	385
环	383
势	382
川	380
偷	379
叔	379
供	378
兰	378
應	377
詩	376
記	376
亚	375
诉	374
绿	374
丁	374
論	373
值	373
劳	373
末	373
將	372
益	371
罪	370
戰	370
守	368
增	368
序	368
纪	367
封	367
承	365
伯	365
浪	365
闻	365
爲	364
抽	364
替	364
紧	364
密	363
請	362
追	358
散	357
孔	357
敢	354
录	354
楷	354
陽	353
免	352
座	352
婚	350
铁	350
戏	350
宜	349
乾	349
篇	349
款	348
模	348
蓝	345
团	345
辭	343
园	343
番	342
维	341
属	341
搞	341
廣	340
仍	340
巧	339
限	339
謂	338
阴	338
率	337
莫	337
误	337
關	336
申	335
兼	335
良	335
乘	335
脚	334
独	334
划	334
灵	334
泳	334
祖	333
雲	333
抱	332
難	331
孤	331
缺	331
靠	331
严	331
波	329
田	328
羊	328
效	328
忍	328
種	327
識	326
牌	326
婆	326
爷	325
鸟	325
寫	324
沙	324
载	324
隔	323
吉	323
货	323
號	323
尚	322
编	322
突	322
陆	321
皆	321
登	321
聽	321
固	321
稱	321
党	321
股	320
祝	319
韵	319
伊	319
異	318
錢	318
洋	318
济	317
弹	317
湖	316
怀	316
汽	316
紅	316
街	315
剧	314
圖	313
降	313
括	313
策	313
進	312
洲	312
评	312
委	312
挺	311
财	311
結	311
痛	310
胜	310
招	310
顾	310
認	309
舍	309
寒	309
乱	309
咖	309
禁	309
彩	309
吸	306
篆	305
張	305
露	305
预	305
困	305
派	305
內	305
禮	304
豆	303
迷	303
顿	303
蠻	303
智	302
雅	302
鼠	302
該	302
努	302
辞	301
野	301
叶	301
退	300
击	299
沉	299
药	299
幾	299
架	298
童	298
厅	296
温	296
验	296
巷	296
端	295
索	295
采	295
责	295
担	294
嘛	294
啡	294
付	294
仙	294
嘴	293
宁	293
媽	293
赛	293
负	290
拍	290
优	290
银	289
卜	288
臣	288
吹	288
矣	288
健	288
陈	287
升	286
坚	286
孟	286
鬼	286
农	285
講	285
辣	285
倍	285
買	285
船	285
竹	284
勿	284
授	284
静	284
乡	284
奥	283
饿	282
邊	282
激	282
黃	281
毕	281
护	281
虫	281
姑	280
层	280
混	280
烦	280
歡	280
革	279
逼	279
遍	279
仔	278
杂	278
横	278
挑	277
射	277
喻	277
舒	277
朱	277
权	277
择	276
釋	276
冲	275
殺	275
類	274
畫	274
材	274
归	274
艺	274
凡	273
習	273
井	273
飛	273
胖	273
叠	272
减	270
烈	270
強	269
妻	269
雷	269
悲	269
企	268
丝	267
證	267
陳	266
闹	266
傻	265
压	265
汤	265
占	265
攻	264
谷	264
尼	264
托	264
虑	264
席	263
灣	260
乙	259
丑	259
尤	259
蒙	259
業	259
饮	258
讨	258
乃	257
睛	257
彼	255
卧	255
暗	254
宗	254
鼓	254
租	253
幅	253
刘	252
盘	251
险	250
围	250
哭	250
孑	250
湾	249
椅	248
迟	247
亡	246
附	245
贴	245
帶	244
讓	244
凉	244
寶	243
貌	243
庭	243
束	243
棒	243
碰	243
码	242
央	241
威	241
灯	241
隸	241
單	240
骑	240
征	239
搭	238
村	238
磨	238
圆	238
颜	238
窗	237
继	237
败	236
覺	236
危	236
搬	236
测	236
穷	236
秀	236
爾	236
仄	236
臺	235
眉	235
竟	234
恶	234
松	233
試	233
寸	232
孝	232
轉	232
伴	232
齐	231
唯	231
刺	231
辰	230
勇	230
佢	229
积	229
挂	229
私	229
弃	229
離	228
玄	228
恐	228
辛	228
梅	228
移	227
输	227
復	226
获	226
熙	226
庫	226
孙	225
盛	225
脱	225
曹	225
俄	224
輕	224
甜	224
弱	224
犬	223
魚	223
兮	223
判	223
陰	223
予	223
透	223
盡	223
恩	222
妙	222
腿	222
伟	222
資	221
瓶	221
澳	221
姨	221
缘	221
拥	221
姊	221
苏	220
卫	220
朗	220
枝	219
页	219
柳	219
恭	219
络	218
织	218
丰	218
顶	217
親	217
碗	217
愁	217
題	216
龍	215
剩	215
徐	215
節	215
咱	214
犹	214
圣	214
营	214
播	214
惯	214
猪	213
厉	213
勾	213
疼	213
歸	212
触	212
掌	212
奈	211
暖	211
逐	211
呆	211
謝	210
舌	210
距	210
鼎	209
鐘	209
籍	209
暴	209
條	209
敌	209
滿	209
赵	209
针	208
烂	208
防	207
救	207
饰	207
毒	207
連	207
涯	207
覆	206
扬	206
杨	206
隐	206
報	206
糖	206
聪	206
哦	205
恨	205
漫	204
舟	204
許	204
尝	204
航	204
製	204
傷	203
执	203
聚	203
醒	203
產	202
汇	202
熊	202
脏	202
蛇	201
描	201
猜	201
赶	201
忽	201
购	200
泉	200
抓	200
邮	200
妳	200
淡	199
奋	199
丢	199
宽	198
劉	198
欧	198
秘	198
融	197
佳	197
聞	197
